,축제명,주소,연락처,시작일,종료일,위도,경도
591,K-일러스트레이션페어 부산 2021,부산광역시 해운대구 APEC로 55,02-761-2512,2021-07-16,2021-07-18,35.1691366711,129.1363402640
592,K-일러스트레이션페어 서울 2021,서울특별시 강남구 영동대로 513,02-761-2512,2021-04-08,2021-04-11,37.5117148467,127.0594429796
593,K-핸드메이드페어 부산 2021,부산광역시 해운대구 APEC로 55,02-761-2512,2021-07-16,2021-07-18,35.1690700054,129.1359569660
594,K-핸드메이드페어 2021,서울특별시 강남구 영동대로 513,02-761-2512,2021-12-09,2021-12-12,37.5118092746,127.0591318945
595,KOREA 월드푸드챔피언십,서울특별시 금천구 서부샛길 606,02)802-7666/7669,2021-11-05,2021-11-07,37.4800458136,126.8770549248
596,KYMF 대한민국청소년미디어대전,서울특별시 용산구 한강대로 255,02-795-8000(내선2번),2021-10-29,2021-10-31,37.5410515470,126.9726361655
597,Let's DMZ 평화예술제,경기도 파주시 문산읍 임진각로 164,letsdmzpaf@gmail.com,2021-05-20,2021-10-31,37.8897734643,126.7417751478
598,MAMF(맘프) 2021,경상남도 창원시 의창구 사화로18번길 30,055)277-8779,2021-10-22,2021-10-24,35.2548756889,128.6076923566
599,MODAFE 2021 (제40회 국제현대무용제),서울특별시 종로구 대학로10길 15-15 해안빌딩 602호,02-763-5351,2021-05-25,2021-06-13,37.5825333800,127.0028600144
600,"NextRise 2021, Seoul",서울특별시 강남구 영동대로 513,070-4640-5994,2021-06-28,2021-06-29,37.5117148467,127.0594429796
601,SIEAF 섬진강국제실험예술제,전라남도 곡성군 죽곡면 강빛마을길 7-10,010-5219-5852,2021-10-30,2021-11-06,35.1406323342,127.3139394782
602,SUMMER FLOWER,경기도 안성시 공도읍 대신두길 28,031-8053-7979,2021-06-18,2021-07-18,36.9920801848,127.1944119888
603,[명예대표축제]김제 지평선축제,온라인개최,063-540-3035~3038,2021-09-29,2021-10-03,35.7539938456,126.8529146250
604,[명예대표축제]진주 남강유등축제,경상남도 진주시 남강로 626,055-755-9111,2021-12-04,2021-12-31,35.1897457534,128.0802763856
605,[문화관광축제]온라인 봉화은어축제,온라인개최,054-674-3053,2021-07-24,2021-08-15,36.8903231162,128.7378736170
606,[문화관광축제]원주 다이내믹댄싱카니발,강원도 원주시 지정면 소금산길 12,033-760-9802~4,2021-10-08,2021-10-24,37.3646293574,127.8340575195
607,[문화관광축제] 대구약령시한방문화축제,대구광역시 중구 남성로 51-1,053-253-4729,2021-10-06,2021-10-10,35.8673230099,128.5923963501
608,[문화관광축제] 산청한방약초축제,온라인개최,055-970-6601~5,2021-09-01,2021-09-30,35.4196966993,127.8718053038
609,[문화관광축제] 수원화성문화제,경기도 수원시 팔달구 정조로 825,031-228-1010,2021-10-08,2021-10-10,37.2872039225,127.0120008348
610,[문화관광축제] 시흥갯골축제,경기도 시흥시 시청로 20,031-310-6749,2021-04-28,2021-10-31,37.3802283072,126.8029477968
611,[문화관광축제] 여주오곡나루축제,경기도 여주시 명품로 360,031-881-9692,2021-11-12,2021-11-14,37.2459334369,127.6122976418
612,[문화관광축제] 연천 구석기축제,경기도 연천군 전곡읍 양연로 1510,031-839-2378,2021-05-22,2021-10-17,38.0122815870,127.0611506837
613,[문화관광축제] 온라인 영암왕인문화축제,온라인개최,061-470-2347,2021-04-01,2021-04-16,34.7566140519,126.6304148351
614,[문화관광축제] 울산옹기축제,울산광역시 울주군 온양읍 외고산길 23,052-980-2232,2021-10-01,2021-10-08,35.4322848446,129.2801648931
615,[문화관광축제] 음성 품바축제,충청북도 음성군 음성읍 설성공원길 28,043-873-2241,2021-10-21,2021-10-24,36.9327654263,127.6910022374
616,[문화관광축제] 임실N치즈축제 2021,전라북도 임실군 성수면 도인2길 50,063-643-3900,2021-10-07,2021-10-10,35.6328486749,127.3012056927
617,[문화관광축제] 제주들불축제,제주 제주시 애월읍 봉성리 산59-8,064-728-2751~6,2021-03-08,2021-03-14,33.3674368137,126.3581488312
618,[문화관광축제] 추억의 충장축제 2021,광주광역시 동구 서남로 1,062-608-2421~4,2021-11-03,2021-11-07,35.1454973445,126.9231294053
619,[문화관광축제] 춘천마임축제,강원도 춘천시 전역,033-242-0585,2021-05-23,2021-11-30,37.8766011603,127.7178558012
620,[문화관광축제] 한산모시문화제,충청남도 서천군 한산면 충절로 1089,041-950-4256,2021-06-11,2021-06-13,36.0799251950,126.7987054614
621,[문화관광축제] 횡성한우축제,온라인개최,1522-1099,2021-10-01,2021-10-15,37.4981056564,127.9871481157
622,[문화관광축제] 2021 온라인 진안홍삼축제,온라인개최,063-430-2391~3,2021-10-08,2021-10-10,35.7732125289,127.4162695779
